"Date","Price","Open","High","Low","Change %"
"Nov 23, 2012","5.6599","5.6804","5.6948","5.6440","-0.40"
"Nov 22, 2012","5.6828","5.7064","5.7145","5.6690","-0.47"
"Nov 21, 2012","5.7097","5.7338","5.7580","5.6982","-0.45"
"Nov 20, 2012","5.7354","5.7342","5.7543","5.7099","-0.01"
"Nov 19, 2012","5.7359","5.7624","5.7875","5.7215","-0.85"
"Nov 16, 2012","5.7853","5.7568","5.8066","5.7456","0.46"
"Nov 15, 2012","5.7589","5.7543","5.7790","5.7407","0.06"
"Nov 14, 2012","5.7552","5.7659","5.7750","5.7311","-0.33"
"Nov 13, 2012","5.7742","5.7447","5.7872","5.7400","0.50"
"Nov 12, 2012","5.7455","5.7363","5.7550","5.7186","0.05"
"Nov 09, 2012","5.7427","5.7208","5.7575","5.6943","0.37"
"Nov 08, 2012","5.7214","5.7340","5.7541","5.7096","-0.27"
"Nov 07, 2012","5.7367","5.7131","5.7538","5.6801","0.43"
"Nov 06, 2012","5.7121","5.7291","5.7409","5.6946","-0.35"
"Nov 05, 2012","5.7322","5.7302","5.7561","5.7191","-0.12"
"Nov 02, 2012","5.7393","5.6763","5.7403","5.6683","1.12"
"Nov 01, 2012","5.6760","5.7009","5.7172","5.6636","-0.46"
"Oct 31, 2012","5.7024","5.7257","5.7383","5.6690","-0.52"
"Oct 30, 2012","5.7321","5.7665","5.7762","5.7150","-0.65"
"Oct 29, 2012","5.7698","5.7551","5.7967","5.7435","-0.08"
"Oct 26, 2012","5.7745","5.7716","5.7992","5.7523","-0.01"
"Oct 25, 2012","5.7750","5.7469","5.7773","5.7139","0.44"
"Oct 24, 2012","5.7497","5.7259","5.7634","5.7091","0.37"
"Oct 23, 2012","5.7285","5.6708","5.7422","5.6572","1.01"
"Oct 22, 2012","5.6712","5.6585","5.6847","5.6384","0.19"
"Oct 19, 2012","5.6606","5.6339","5.6693","5.6255","0.44"
"Oct 18, 2012","5.6360","5.6325","5.6470","5.6022","0.04"
"Oct 17, 2012","5.6340","5.6572","5.6626","5.6156","-0.45"
"Oct 16, 2012","5.6594","5.7088","5.7118","5.6456","-0.89"
"Oct 15, 2012","5.7102","5.6899","5.7302","5.6896","-0.01"
"Oct 12, 2012","5.7108","5.7062","5.7171","5.6815","0.03"
"Oct 11, 2012","5.7091","5.7354","5.7481","5.6895","-0.50"
