"Date","Price","Open","High","Low","Change %"
"Mar 28, 2013","94.14","94.42","94.49","93.85","-0.32"
"Mar 27, 2013","94.44","94.44","94.91","94.02","0.00"
"Mar 26, 2013","94.44","94.15","94.61","93.85","0.29"
"Mar 25, 2013","94.17","94.31","94.96","93.53","-0.37"
"Mar 22, 2013","94.52","94.90","95.13","94.18","-0.39"
"Mar 21, 2013","94.89","95.99","96.11","94.56","-1.19"
"Mar 20, 2013","96.03","95.16","96.13","94.81","0.91"
"Mar 19, 2013","95.16","95.20","95.74","94.71","-0.06"
"Mar 18, 2013","95.22","94.10","95.60","94.03","-0.06"
"Mar 15, 2013","95.28","96.08","96.27","95.06","-0.86"
"Mar 14, 2013","96.11","96.11","96.59","95.66","0.00"
"Mar 13, 2013","96.11","96.08","96.25","95.43","0.03"
"Mar 12, 2013","96.08","96.26","96.71","95.62","-0.21"
"Mar 11, 2013","96.28","95.95","96.36","95.90","0.26"
"Mar 08, 2013","96.03","94.79","96.54","94.76","1.27"
"Mar 07, 2013","94.83","94.04","95.06","93.77","0.80"
"Mar 06, 2013","94.08","93.28","94.11","92.98","0.85"
"Mar 05, 2013","93.29","93.46","93.54","92.89","-0.20"
"Mar 04, 2013","93.48","93.56","93.72","93.15","-0.12"
"Mar 01, 2013","93.59","92.54","93.68","92.41","1.11"
"Feb 28, 2013","92.56","92.20","92.85","91.98","0.36"
"Feb 27, 2013","92.23","91.95","92.43","91.12","0.27"
"Feb 26, 2013","91.98","91.80","92.74","91.13","0.19"
"Feb 25, 2013","91.81","93.96","94.76","90.92","-1.71"
"Feb 22, 2013","93.41","93.08","93.50","92.90","0.32"
"Feb 21, 2013","93.11","93.53","93.86","92.76","-0.48"
"Feb 20, 2013","93.56","93.57","94.02","93.11","-0.02"
"Feb 19, 2013","93.58","93.95","93.96","93.27","-0.39"
"Feb 18, 2013","93.95","93.65","94.20","93.60","0.46"
"Feb 15, 2013","93.52","92.86","93.84","92.21","0.69"
"Feb 14, 2013","92.88","93.36","93.71","92.65","-0.55"
"Feb 13, 2013","93.39","93.46","93.78","92.80","-0.09"
"Feb 12, 2013","93.47","94.30","94.40","92.96","-0.91"
"Feb 11, 2013","94.33","92.83","94.42","92.34","1.77"
"Feb 08, 2013","92.69","93.61","93.74","92.15","-1.00"
"Feb 07, 2013","93.63","93.62","93.91","93.06","-0.01"
"Feb 06, 2013","93.64","93.61","94.06","93.26","0.01"
"Feb 05, 2013","93.63","92.36","93.65","91.96","1.35"
"Feb 04, 2013","92.38","92.82","93.18","92.18","-0.37"
"Feb 01, 2013","92.72","91.69","92.96","91.59","1.09"
"Jan 31, 2013","91.72","91.07","91.77","90.71","0.70"
"Jan 30, 2013","91.08","90.73","91.40","90.64","0.39"
"Jan 29, 2013","90.73","90.83","91.01","90.30","-0.13"
"Jan 28, 2013","90.85","90.90","91.25","90.53","-0.08"
"Jan 25, 2013","90.92","90.30","91.19","90.26","0.65"
"Jan 24, 2013","90.33","88.60","90.54","88.40","1.94"
"Jan 23, 2013","88.61","88.69","88.79","88.03","-0.11"
"Jan 22, 2013","88.71","89.58","90.06","88.35","-1.00"
"Jan 21, 2013","89.61","89.96","90.25","89.32","-0.52"
"Jan 18, 2013","90.08","89.85","90.18","89.61","0.22"
"Jan 17, 2013","89.88","88.36","90.10","88.11","1.69"
"Jan 16, 2013","88.39","88.80","88.87","87.77","-0.45"
"Jan 15, 2013","88.79","89.46","89.63","88.27","-0.76"
"Jan 14, 2013","89.47","89.24","89.67","89.05","0.33"
"Jan 11, 2013","89.18","88.78","89.44","88.66","0.45"
"Jan 10, 2013","88.78","87.86","88.78","87.84","1.02"
"Jan 09, 2013","87.88","87.03","88.01","86.81","0.95"
"Jan 08, 2013","87.05","87.75","87.82","86.88","-0.83"
"Jan 07, 2013","87.78","88.17","88.37","87.60","-0.42"
"Jan 04, 2013","88.15","87.21","88.40","87.21","1.05"
"Jan 03, 2013","87.23","87.32","87.36","86.74","-0.13"
"Jan 02, 2013","87.34","86.67","87.34","86.51","0.75"
"Jan 01, 2013","86.69","86.72","86.79","86.53","-0.07"
"Dec 31, 2012","86.75","85.78","86.79","85.68","0.85"
"Dec 28, 2012","86.02","86.09","86.63","85.92","-0.09"
"Dec 27, 2012","86.10","85.62","86.15","85.45","0.54"
"Dec 26, 2012","85.64","84.75","85.70","84.72","1.05"
"Dec 25, 2012","84.75","84.94","84.95","84.59","-0.22"
"Dec 24, 2012","84.94","84.21","84.94","84.20","0.84"
"Dec 21, 2012","84.23","84.36","84.44","83.83","-0.18"
"Dec 20, 2012","84.38","84.40","84.45","83.83","-0.04"
"Dec 19, 2012","84.41","84.20","84.61","84.14","0.25"
"Dec 18, 2012","84.20","83.86","84.27","83.79","0.37"
"Dec 17, 2012","83.89","84.35","84.48","83.58","0.49"
"Dec 14, 2012","83.48","83.64","83.96","83.30","-0.19"
"Dec 13, 2012","83.64","83.24","83.67","83.10","0.47"
"Dec 12, 2012","83.25","82.51","83.29","82.45","0.88"
"Dec 11, 2012","82.52","82.33","82.57","82.27","0.19"
"Dec 10, 2012","82.36","82.35","82.63","82.09","-0.15"
"Dec 07, 2012","82.48","82.39","82.82","82.15","0.08"
"Dec 06, 2012","82.41","82.46","82.61","82.18","-0.07"
"Dec 05, 2012","82.47","81.87","82.48","81.76","0.71"
