"Date","Price","Open","High","Low","Change %"
"May 06, 2013","1.1744","1.1710","1.1786","1.1682","0.20"
"May 03, 2013","1.1720","1.1770","1.1800","1.1692","-0.42"
"May 02, 2013","1.1770","1.1762","1.1831","1.1744","0.03"
"May 01, 2013","1.1767","1.1690","1.1797","1.1647","0.64"
"Apr 30, 2013","1.1692","1.1670","1.1715","1.1643","0.17"
"Apr 29, 2013","1.1672","1.1774","1.1797","1.1651","-1.04"
"Apr 26, 2013","1.1795","1.1758","1.1808","1.1707","0.25"
"Apr 25, 2013","1.1766","1.1788","1.1819","1.1674","-0.25"
"Apr 24, 2013","1.1796","1.1910","1.1921","1.1770","-0.96"
"Apr 23, 2013","1.1910","1.1869","1.1964","1.1850","0.33"
"Apr 22, 2013","1.1871","1.1872","1.1932","1.1813","-0.03"
"Apr 19, 2013","1.1875","1.1878","1.1908","1.1770","-0.10"
"Apr 18, 2013","1.1887","1.1827","1.1905","1.1804","0.29"
"Apr 17, 2013","1.1853","1.1776","1.1870","1.1747","0.71"
"Apr 16, 2013","1.1770","1.1879","1.1888","1.1747","-1.04"
"Apr 15, 2013","1.1894","1.1662","1.1937","1.1648","2.13"
"Apr 12, 2013","1.1646","1.1579","1.1705","1.1565","0.49"
"Apr 11, 2013","1.1589","1.1639","1.1673","1.1518","-0.57"
"Apr 10, 2013","1.1656","1.1729","1.1747","1.1647","-0.66"
"Apr 09, 2013","1.1733","1.1818","1.1823","1.1705","-0.71"
"Apr 08, 2013","1.1817","1.1878","1.1901","1.1795","-0.35"
"Apr 05, 2013","1.1858","1.1879","1.1949","1.1840","-0.19"
"Apr 04, 2013","1.1880","1.1879","1.1960","1.1844","-0.02"
"Apr 03, 2013","1.1882","1.1879","1.1911","1.1826","0.03"
"Apr 02, 2013","1.1879","1.1933","1.1945","1.1836","-0.59"
"Apr 01, 2013","1.1949","1.1952","1.1975","1.1918","0.05"
"Mar 29, 2013","1.1943","1.1945","1.1968","1.1929","-0.08"
"Mar 28, 2013","1.1953","1.1946","1.1976","1.1918","0.01"
"Mar 27, 2013","1.1952","1.1912","1.1990","1.1905","0.20"
"Mar 26, 2013","1.1928","1.1962","1.1997","1.1901","-0.50"
"Mar 25, 2013","1.1988","1.1977","1.2000","1.1942","0.24"
"Mar 22, 2013","1.1959","1.2016","1.2041","1.1952","-0.58"
"Mar 21, 2013","1.2029","1.2099","1.2126","1.1979","-1.07"
"Mar 20, 2013","1.2159","1.2129","1.2179","1.2111","0.28"
"Mar 19, 2013","1.2125","1.2098","1.2155","1.2088","0.21"
"Mar 18, 2013","1.2099","1.2148","1.2170","1.2089","0.11"
